2019-04-14 16:16:33.425089|INFO    |VirtualServerBase|1  |channel '[cpacer4]'(id:30) edited by 'J. Downs'(id:2)
2019-04-14 16:16:40.719588|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:30) edited by 'J. Downs'(id:2)
2019-04-14 16:16:51.237151|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:30) deleted by 'server'(id:0)
2019-04-14 16:17:00.941204|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:31) created by 'J. Downs'(id:2)
2019-04-14 16:17:24.479723|INFO    |VirtualServerBase|1  |channel 'Hangar'(id:15) edited by 'J. Downs'(id:2)
2019-04-14 16:17:29.775557|INFO    |VirtualServerBase|1  |channel 'Air Element'(id:13) deleted by 'J. Downs'(id:2)
2019-04-14 16:17:44.358579|INFO    |VirtualServerBase|1  |channel 'Air Element'(id:31) edited by 'J. Downs'(id:2)
2019-04-14 16:18:01.062664|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:32) created by 'J. Downs'(id:2)
2019-04-14 16:18:25.195553|INFO    |VirtualServerBase|1  |channel 'Infantry Element'(id:10) deleted by 'J. Downs'(id:2)
2019-04-14 16:19:23.267923|INFO    |VirtualServerBase|1  |channel 'Infantry Element'(id:32) edited by 'J. Downs'(id:2)
2019-04-14 16:21:47.798869|INFO    |VirtualServerBase|1  |client connected 'A. Black'(id:4) from 82.25.56.123:57546
2019-04-14 16:22:10.285091|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:33) created by 'J. Downs'(id:2)
2019-04-14 16:22:18.315512|INFO    |VirtualServerBase|1  |channel 'Information Channels'(id:23) deleted by 'J. Downs'(id:2)
2019-04-14 16:22:29.268280|INFO    |VirtualServerBase|1  |channel 'Information'(id:33) edited by 'J. Downs'(id:2)
2019-04-14 16:22:52.422210|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:34) created by 'J. Downs'(id:2)
2019-04-14 16:23:02.511612|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:34) edited by 'J. Downs'(id:2)
2019-04-14 16:23:12.871265|INFO    |VirtualServerBase|1  |channel 'Public'(id:34) edited by 'J. Downs'(id:2)
2019-04-14 16:23:23.033269|INFO    |VirtualServerBase|1  |channel 'Public Gaming Channel'(id:19) edited by 'J. Downs'(id:2)
2019-04-14 16:23:27.616533|INFO    |VirtualServerBase|1  |channel 'placeholder public'(id:2) deleted by 'J. Downs'(id:2)
2019-04-14 16:23:44.147780|INFO    |VirtualServerBase|1  |channel '[spacer4]'(id:35) created by 'J. Downs'(id:2)
2019-04-14 16:23:57.279148|INFO    |VirtualServerBase|1  |channel 'placeholder Recruitment Channels'(id:20) deleted by 'J. Downs'(id:2)
2019-04-14 16:24:08.508900|INFO    |VirtualServerBase|1  |channel 'Recruitment'(id:35) edited by 'J. Downs'(id:2)
2019-04-14 16:24:42.348773|INFO    |VirtualServerBase|1  |channel 'Server Channels'(id:36) created by 'J. Downs'(id:2)
2019-04-14 16:24:50.648634|INFO    |VirtualServerBase|1  |channel 'placeholder server channels'(id:3) deleted by 'J. Downs'(id:2)
2019-04-14 16:25:21.448675|INFO    |VirtualServerBase|1  |channel 'Barracks'(id:37) created by 'J. Downs'(id:2)
2019-04-14 16:26:04.388185|INFO    |VirtualServerBase|1  |channel 'Task Force Command'(id:38) created by 'J. Downs'(id:2)
2019-04-14 16:26:21.354193|INFO    |VirtualServerBase|1  |channel 'Task Force Command'(id:5) deleted by 'J. Downs'(id:2)
2019-04-14 16:26:27.958923|INFO    |VirtualServerBase|1  |channel 'placeholder barracks'(id:4) deleted by 'J. Downs'(id:2)
2019-04-14 16:32:28.417140|INFO    |VirtualServer |1  |servergroup '[Cpt]'(id:10) was added by 'J. Downs'(id:2)
2019-04-14 16:32:28.490320|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:146) with values (value:30, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.490470|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:37) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.490597|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:221) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.490720|INFO    |VirtualServer |1  |permission 'i_client_max_clones_uid'(id:173) with values (value:2, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.490840|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_view'(id:190) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
